Row	Locator Number	Address	Zip Code	Distance (miles)	Sale Date	Sale Price	Price Per Sq. Ft.	Sale Validity	Total Acres	Living Units / Story Height	Exterior Wall Type	Architectural Style	Year Built	Total Living Area	Basement	Bed / Total Rooms	Full / Half Baths
1	23S340383	237 Warner Ct.	63021	0.49	2/28/2023	$98,000	$97.22	4	0.2381	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
2	24R421004	350 Bellestri Dr.	63021	0.51	3/3/2023	$105,000	$84.13	4	0.1934	1 / 1	Aluminum / Vinyl	Split Foyer	1976	1,248	Full	3 / 6	3 / 0
3	23S220313	550 Blazedwood Dr.	63021	0.59	8/4/2021	$110,000	$83.45	2	0.1832	1 / 1	Asbestos	Ranch	1970	1,318	Full	3 / 7	2 / 1
4	24R530207	366 Sorrento Dr.	63021	0.61	5/3/2022	$125,000	$142.85	4	0.2801	1 / 1	Aluminum / Vinyl	Split Foyer	1969	875	Full	3 / 6	2 / 0
5	23R130404	232 Howard Dr.	63021	0.58	5/25/2022	$130,000	$128.96	I	0.3147	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
6	23R130349	238 Howard Dr.	63021	0.56	6/6/2022	$131,000	$129.96	2	0.6184	1 / 1	Frame	Ranch	1959	1,008	None	3 / 5	1 / 0
7	24S620280	449 Briarhill Ct.	63021	0.31	4/28/2022	$135,000	$112.50	4	0.3046	1 / 2	Aluminum / Vinyl	Conventional	1982	1,200	None	3 / 6	2 / 0
8	24R530748	384 Messina Dr.	63021	0.73	8/30/2021	$135,000	$95.13	I	0.2037	1 / 1	Aluminum / Vinyl	Split Foyer	1968	1,419	Full	3 / 7	2 / 1
9	24S620862	387 Marywood Ct.	63021	0.20	2/10/2021	$135,000	$103.05	I	0.1676	1 / 1	Frame	Ranch	1973	1,310	Full	3 / 6	2 / 0
10	23S220423	207 Bitterwood Dr.	63021	0.48	5/26/2022	$140,000	$131.82	I	0.1742	1 / 1	Aluminum / Vinyl	Ranch	1970	1,062	Full	3 / 6	2 / 0
11	24S610225	492 Ballwood Dr.	63021	0.21	12/8/2021	$155,000	$118.32	2	0.1951	1 / 1	Frame	Ranch	1972	1,310	Full	3 / 6	2 / 1
12	24S631268	548 Lemonwood Dr.	63021	0.30	3/1/2021	$155,000	$118.32	2	0.1822	1 / 1	Frame	Ranch	1972	1,310	Full	3 / 7	2 / 0
13	23S240074	249 Old Ballwin Rd.	63021	0.62	12/27/2021	$160,000	$172.97	2	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 6	2 / 0
14	24R430271	160 Holly Green Dr.	63021	0.27	4/27/2022	$160,000	$82.81	I	0.2332	1 / 2	Aluminum / Vinyl	Conventional	1979	1,932	Full	4 / 8	2 / 1
15	23S240452	622 Nancy Pl.	63021	0.82	5/3/2021	$161,000	$103.53	I	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	1,555	Full	3 / 8	2 / 0
16	23R130248	243 Howard Dr.	63021	0.50	7/21/2021	$165,000	$130.95	I	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,260	None	3 / 6	1 / 0
17	24S520832	380 Cedar Run Dr.	63021	0.66	3/26/2021	$165,000	$154.78	2	0.1757	1 / 1	Masonry and Frame	Ranch	1976	1,066	Full	3 / 6	3 / 0
18	23S240113	248 Dennison Dr.	63021	0.66	5/12/2021	$170,000	$183.78	X	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 6	1 / 0
19	23R230742	285 Amber Jack Dr.	63021	0.86	4/1/2022	$170,000	$147.82	2	0.2927	1 / 1	Masonry and Frame	Split Foyer	1976	1,150	Full	3 / 7	2 / 0
20	23S340525	239 Ramsey Ln.	63021	0.54	1/5/2021	$171,900	$223.82	X	0.3864	1 / 1	Aluminum / Vinyl	Ranch	1959	768	None	3 / 5	1 / 0
21	23S240113	248 Dennison Dr.	63021	0.66	9/21/2021	$172,500	$186.48	2	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 6	1 / 0
22	24R240339	14 Rainfield Ct.	63021	0.93	7/16/2021	$180,000	$138.88	I	0.3050	1 / 1	Frame	Split Foyer	1976	1,296	Full	4 / 8	3 / 0
23	23R420015	217 Lark Hill Ln.	63021	0.77	12/1/2022	$180,000	$129.31	I	0.6870	1 / 1	Aluminum / Vinyl	Ranch	1954	1,392	Part	3 / 6	1 / 1
24	23S240232	242 Dennison Dr.	63021	0.70	4/27/2022	$185,000	$200.00	2	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 6	1 / 0
25	23S340460	235 Warner Ct.	63021	0.52	5/6/2021	$185,000	$183.53	4	0.4220	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
26	23S340460	235 Warner Ct.	63021	0.52	4/7/2021	$185,000	$183.53	X	0.4220	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
27	24S630960	504 Blazedwood Dr.	63021	0.29	4/19/2021	$188,000	$168.45	2	0.1939	1 / 1	Frame	Ranch	1971	1,116	Full	3 / 7	2 / 0
28	23R110282	277 Ramsey Ln.	63021	0.37	1/13/2023	$189,500	$113.20	I	0.4148	1 / 1	Aluminum / Vinyl	Ranch	1959	1,674	None	3 / 7	1 / 0
29	24S640112	461 Ballwood Dr.	63021	0.13	8/12/2021	$190,000	$145.03	2	0.1901	1 / 1	Aluminum / Vinyl	Ranch	1973	1,310	Full	3 / 7	2 / 1
30	23R230706	13 Roland Ave.	63021	0.94	8/4/2022	$191,000	$159.16	4	0.1354	1 / 1	Aluminum / Vinyl	Ranch	1968	1,200	Full	3 / 7	2 / 0
31	23R130248	243 Howard Dr.	63021	0.50	8/24/2021	$191,750	$152.18	R	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,260	None	3 / 6	1 / 0
32	23S240351	235 Old Ballwin Rd.	63021	0.72	7/30/2021	$192,000	$207.56	X	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 5	1 / 0
33	23S620245	220 Ramsey Ln.	63021	0.74	1/28/2021	$195,000	$210.81	X	0.4683	1 / 1	Aluminum / Vinyl	Bungalow	1956	925	Full	3 / 5	1 / 0
34	23S340020	266 Ramsey Ln.	63021	0.40	2/27/2023	$195,000	$193.45	X	0.3548	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
35	24R540363	894 Torino Dr.	63021	0.83	11/12/2021	$195,000	$146.06	I	0.2534	1 / 1	Masonry and Frame	Ranch	1968	1,335	Full	3 / 7	2 / 0
36	24R520462	410 Sorrento Dr.	63021	0.90	8/23/2021	$195,001	$138.39	I	0.1779	1 / 1	Aluminum / Vinyl	Split Foyer	1968	1,409	Full	3 / 7	2 / 1
37	24S611149	424 Harvest Hill Ct.	63021	0.37	10/19/2021	$196,001	$149.96	I	0.1760	1 / 1	Aluminum / Vinyl	Ranch	1983	1,307	Full	3 / 7	2 / 0
38	23S210231	259 Cedar Village Ct.	63021	0.89	2/16/2022	$198,000	$148.42	4	0.2498	1 / 1	Aluminum / Vinyl	Ranch	1974	1,334	Full	3 / 7	2 / 0
39	23S210231	259 Cedar Village Ct.	63021	0.89	2/15/2022	$198,000	$148.42	5	0.2498	1 / 1	Aluminum / Vinyl	Ranch	1974	1,334	Full	3 / 7	2 / 0
40	24R440043	118 Breezeview Dr.	63021	0.54	10/4/2021	$198,600	$109.54	I	0.2831	1 / 1	Masonry and Frame	Ranch	1968	1,813	Full	3 / 7	2 / 0
41	23S220065	621 Old Ballwin Rd.	63021	0.64	3/31/2022	$199,508	$193.32	2	0.4649	1 / 1	Aluminum / Vinyl	Ranch	1955	1,032	Full	3 / 6	2 / 0
42	24S540935	665 Lemonwood Dr.	63021	0.48	2/6/2023	$200,000	$155.76	I	0.1795	1 / 1	Aluminum / Vinyl	Ranch	1972	1,284	Full	3 / 7	2 / 0
43	23S320121	259 Ramsey Ln.	63021	0.36	9/19/2022	$200,000	$152.90	X	0.4633	1 / 1	Aluminum / Vinyl	Ranch	1959	1,308	None	3 / 5	1 / 0
44	24S630823	523 Arborwood Dr.	63021	0.36	3/5/2021	$200,000	$110.98	2	0.2112	1 / 1	Aluminum / Vinyl	Ranch	1971	1,802	Full	4 / 9	2 / 1
45	24R520646	420 Tumulty Dr.	63021	0.89	1/22/2021	$202,500	$155.76	I	0.1909	1 / 1	Aluminum / Vinyl	Ranch	1983	1,300	Full	3 / 7	2 / 0
46	24R440043	118 Breezeview Dr.	63021	0.54	8/19/2021	$205,165	$113.16	5	0.2831	1 / 1	Masonry and Frame	Ranch	1968	1,813	Full	3 / 7	2 / 0
47	24R540051	401 Sorrento Dr.	63021	0.84	11/2/2022	$207,000	$194.54	2	0.2878	1 / 1	Asbestos	Split Foyer	1967	1,064	Full	4 / 8	2 / 0
48	24S630586	525 Goldwood Dr.	63021	0.23	10/13/2021	$207,001	$158.01	I	0.2029	1 / 1	Frame	Ranch	1971	1,310	Full	3 / 8	2 / 1
49	24S510675	412 Woodrun Dr.	63021	0.87	8/10/2021	$207,500	$158.39	I	0.1864	1 / 1	Aluminum / Vinyl	Ranch	1977	1,310	Full	3 / 7	2 / 1
50	23S210253	249 Cedar Village Ct.	63021	0.90	3/10/2022	$208,000	$158.77	2	0.1954	1 / 1	Asbestos	Ranch	1974	1,310	Full	3 / 7	1 / 1
51	23S220432	304 Statewood Dr.	63021	0.50	5/31/2022	$209,000	$187.27	2	0.2290	1 / 1	Asbestos	Ranch	1970	1,116	Full	3 / 6	2 / 0
52	23R130082	284 Ramsey Ln.	63021	0.45	3/1/2022	$210,000	$162.03	X	0.4532	1 / 1	Aluminum / Vinyl	Ranch	1959	1,296	None	4 / 6	1 / 0
53	23S340451	238 Warner Ct.	63021	0.51	12/27/2021	$210,000	$208.33	X	0.3886	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	2 / 0
54	24S640332	449 Madrina Ct.	63021	0.14	9/14/2021	$210,000	$149.78	2	0.2276	1 / 1	Aluminum / Vinyl	Ranch	1975	1,402	Full	3 / 6	2 / 0
55	23S320583	443 Paula Vale Ct.	63021	0.26	1/12/2021	$210,000	$96.95	2	0.2755	1 / 2	Aluminum / Vinyl	Conventional	1977	2,166	Full	4 / 8	2 / 1
56	23R230825	26 Roland Ave.	63021	0.92	12/28/2021	$212,000	$184.66	2	0.4234	1 / 1	Masonry and Frame	Ranch	1976	1,148	Full	3 / 6	2 / 0
57	23R130303	237 Ries Rd.	63021	0.55	9/2/2022	$213,000	$165.88	X	0.3415	1 / 1	Aluminum / Vinyl	Ranch	1959	1,284	None	3 / 5	1 / 0
58	24R420995	354 Bellestri Dr.	63021	0.53	8/20/2021	$214,000	$178.63	X	0.2455	1 / 1	Aluminum / Vinyl	Split Foyer	1976	1,198	Full	3 / 7	2 / 1
59	23R130156	245 Ries Rd.	63021	0.49	7/21/2021	$215,000	$153.13	X	0.3669	1 / 1	Aluminum / Vinyl	Ranch	1959	1,404	None	3 / 6	1 / 1
60	24S540353	566 Goldwood Dr.	63021	0.46	6/22/2021	$215,000	$164.12	X	0.1795	1 / 1	Frame	Ranch	1971	1,310	Full	3 / 6	2 / 0
61	24R530537	389 Genoa Dr.	63021	0.74	11/2/2022	$215,000	$124.70	2	0.1842	1 / 1	Aluminum / Vinyl	Ranch	1969	1,724	Full	4 / 8	2 / 0
62	24S530705	715 Westglen Village Dr.	63021	0.72	9/13/2022	$217,500	$167.56	2	0.1774	1 / 1	Aluminum / Vinyl	Split Foyer	1978	1,298	Full	3 / 7	2 / 0
63	23R510022	212 Streiff Ct.	63021	0.90	2/8/2022	$217,500	$184.94	X	0.6287	1 / 1	Aluminum / Vinyl	Ranch	1953	1,176	None	3 / 6	1 / 0
64	23S340064	258 Ramsey Ln.	63021	0.40	11/18/2021	$219,000	$168.98	X	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,296	None	3 / 7	1 / 0
65	23S340262	249 Howard Dr.	63021	0.45	9/30/2022	$219,000	$217.26	R	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
66	24R531040	361 Messina Dr.	63021	0.58	2/1/2023	$220,000	$251.42	X	0.1778	1 / 1	Frame	Split Foyer	1969	875	Full	3 / 6	1 / 1
67	23R410014	229 Ries Rd.	63021	0.68	8/5/2022	$220,000	$208.33	X	0.4735	1 / 1	Aluminum / Vinyl	Bungalow	1929	1,056	Full	3 / 5	1 / 0
68	23R220558	290 Amber Jack Dr.	63021	0.86	11/9/2021	$220,000	$199.27	X	0.3128	1 / 1	Masonry and Frame	Split Foyer	1976	1,104	Full	3 / 6	2 / 1
69	23S520354	225 Newton Pl.	63021	0.94	10/28/2021	$220,000	$237.83	X	0.4591	1 / 1	Aluminum / Vinyl	Bungalow	1955	925	Full	3 / 5	1 / 0
70	24S610148	546 Ballwood Dr.	63021	0.30	2/15/2022	$220,000	$167.93	I	0.1904	1 / 1	Aluminum / Vinyl	Ranch	1972	1,310	Full	3 / 8	2 / 1
71	24S631082	569 Lemonwood Dr.	63021	0.33	7/13/2021	$220,000	$167.93	2	0.1795	1 / 1	Frame	Ranch	1972	1,310	Full	3 / 7	2 / 0
72	24R530885	383 Messina Dr.	63021	0.71	9/2/2021	$220,000	$251.42	X	0.1793	1 / 1	Asbestos	Split Foyer	1968	875	Full	3 / 6	2 / 0
73	24R141274	224 Valleyoak Ct.	63021	0.68	4/15/2021	$220,000	$177.70	3	0.2011	1 / 1	Aluminum / Vinyl	Ranch	1979	1,238	Full	3 / 7	3 / 0
